date,amount,vendor,classes
2023-01-01,4160.69,LuxuryLinens,HOUSEKEEPING
2023-01-01,1475.53,EssentialOils Co,HOUSEKEEPING
2023-01-01,2340.51,GourmetImports,HOUSEKEEPING
2023-01-01,2529.45,LuxuryLinens,POOLSIDE
2023-01-01,18774.66,PoolChem Experts,POOLSIDE
2023-01-01,617.78,FlowerDesign,POOLSIDE
2023-01-01,1086.57,GourmetImports,RESTAURANT
2023-01-01,1522.51,LuxuryLinens,WELLNESS_SPA
2023-01-01,1184.54,EssentialOils Co,WELLNESS_SPA
2023-01-02,7474.01,LuxuryLinens,HOUSEKEEPING
2023-01-02,1367.96,EssentialOils Co,HOUSEKEEPING
2023-01-02,1587.06,LuxuryLinens,POOLSIDE
2023-01-02,2844.4,EssentialOils Co,POOLSIDE
2023-01-02,1164.64,GourmetImports,RESTAURANT
2023-01-02,1217.4,FlowerDesign,RESTAURANT
2023-01-02,5305.67,TechConcierge,WELLNESS_SPA
2023-01-02,2243.87,EssentialOils Co,WELLNESS_SPA
2023-01-02,5903.29,GourmetImports,WELLNESS_SPA
2023-01-03,1036.15,PoolChem Experts,HOUSEKEEPING
2023-01-03,747.15,PoolChem Experts,POOLSIDE
2023-01-03,1839.67,EssentialOils Co,RESTAURANT
2023-01-03,727.92,GourmetImports,RESTAURANT
2023-01-03,5579.48,FlowerDesign,RESTAURANT
2023-01-03,2790.82,FlowerDesign,WELLNESS_SPA
2023-01-04,1248.5,TechConcierge,HOUSEKEEPING
2023-01-04,1978.59,PoolChem Experts,HOUSEKEEPING
2023-01-04,916.04,GourmetImports,HOUSEKEEPING
2023-01-04,837.91,LuxuryLinens,POOLSIDE
2023-01-04,864.55,TechConcierge,POOLSIDE
2023-01-04,1481.96,PoolChem Experts,POOLSIDE
2023-01-04,601.94,LuxuryLinens,RESTAURANT
2023-01-04,2574.25,EssentialOils Co,RESTAURANT
2023-01-04,4580.88,LuxuryLinens,WELLNESS_SPA
2023-01-05,4915.81,LuxuryLinens,HOUSEKEEPING
2023-01-05,1604.07,EssentialOils Co,HOUSEKEEPING
2023-01-05,2081.78,LuxuryLinens,POOLSIDE
2023-01-05,3791.7,PoolChem Experts,POOLSIDE
