date,amount,vendor,mess,items
2024-01-01,30215,PRIME PROVISIONS,MESS D,Cabbage|Peas|Maida
2024-01-01,46116,NATURE BASKET,MESS G,Cocoa Powder|Garam Masala|Bournvita
2024-01-02,47786,MASALA KING,MESS C,Vermicelli|Biscuits|Ridge Gourd|Rajma|Vinegar
2024-01-02,31681,ANANDA FOODS,MESS I,Sugar|Semolina|Potato|Ghee|Milk
2024-01-03,10278,PULSES PALACE,MESS H,Mustard Seeds|Curry Leaves|Onion|Potato
2024-01-04,45308,VEGGIE HUB,MESS D,Garam Masala|Coriander Powder|Onion|Watermelon|Tomato|Chicken
2024-01-05,65161,PURE HARVEST,MESS J,Turmeric|Butter|Onion|Tamarind|Toor Dal|Tomato
2024-01-06,41241,GREEN LEAF,MESS G,Black Chana|Tofu|Papaya|Maida|Pepper
2024-01-07,36404,AGRO TRADERS,MESS F,Bread|Butter|Eggs|Cumin
2024-01-08,13207,SUNNY FOODS,MESS D,Maida|Ridge Gourd
2024-01-09,29856,DAIRY PLUS,MESS J,Cocoa Powder|Drumstick|Coriander Powder|Onion|Fish
2024-01-10,19078,AGRO TRADERS,MESS G,Cornflour|Eggs|Vanilla Essence
2024-01-11,40493,LAKSHMI TRADERS,MESS A,Garam Masala|Broken Wheat|Coriander Powder|Onion|Tomato|Chicken
2024-01-12,89377,NATURE BASKET,MESS C,Sugar|Semolina|Ghee|Mutton|Milk|Yam
2024-01-12,37110,BHARATH SUPPLIERS,MESS B,Spinach|Moong Dal|Cumin
2024-01-13,15004,KRISHNA STORES,MESS D,Curry Leaves|Potato|Onion|Mustard Seeds|Milk
2024-01-14,53548,PRIME PROVISIONS,MESS D,Jaggery|Wheat Flour|Chana Dal|Paneer|Capsicum
2024-01-15,37179,BEST BULK,MESS I,Ghee|Spinach|Moong Dal|Cumin
2024-01-16,19753,APEX AGRO,MESS C,Eggs|Spinach|Moong Dal|Cumin
2024-01-16,13388,FLOUR MILL CO,MESS A,Milk|Poha|Vermicelli
2024-01-17,24116,FRESH FARMS,MESS J,Mustard Oil|Spinach|Moong Dal|Cumin
2024-01-18,35426,LAKSHMI TRADERS,MESS A,Chana Dal|Curry Leaves|Mustard Seeds|Toor Dal|Coconut
2024-01-19,36142,FLOUR MILL CO,MESS J,Papad|Tofu|Oats|Mutton
2024-01-19,27734,RICE WORLD,MESS I,Turmeric|Jaggery|Onion|Tamarind|Toor Dal|Tomato
2024-01-20,32072,BHARATH SUPPLIERS,MESS E,Asafoetida|Masoor Dal|Watermelon
2024-01-21,51427,FLOUR MILL CO,MESS J,Sugar|Rajma|Soy Sauce|Vanilla Essence
2024-01-22,56850,SARAVANA STORES,MESS G,Maida|Chana Dal|Spinach|Yeast
2024-01-23,18064,SRI VENKATA AGRO,MESS H,Semolina|Salt|Floor Cleaner
2024-01-24,51874,PURE HARVEST,MESS C,Hand Wash|Spinach|Moong Dal|Cumin
2024-01-25,39747,PRIME PROVISIONS,MESS G,Hand Wash|Watermelon
2024-01-26,16036,KRISHNA STORES,MESS H,Yam|Bread|Black Chana
2024-01-27,27153,MASALA KING,MESS C,Turmeric|Chana Dal|Curry Leaves|Onion|Tamarind|Toor Dal
2024-01-28,12459,FARM FRESH,MESS H,Vinegar|Bread|Peas
2024-01-28,52794,SPICE VALLEY,MESS E,Mustard Oil|Coconut|Yam|Basmati Rice|Curd
2024-01-29,40360,PRIME PROVISIONS,MESS I,Bread|Butter|Eggs
2024-01-30,41094,BEST BULK,MESS H,Garam Masala|Hand Wash|Tissue Paper|Soya Chunks|Bournvita
2024-01-31,26331,SRI VENKATA AGRO,MESS H,Tissue Paper|Wheat Flour|Sugar|Ghee
2024-02-01,33357,PURE HARVEST,MESS F,Sunflower Oil|Dish Soap|Horlicks|Watermelon|Rava
2024-02-02,4754,PURE HARVEST,MESS B,Mustard Seeds|Curry Leaves|Onion|Potato
2024-02-03,11881,FARM FRESH,MESS J,Onion|Tomato|Toor Dal
2024-02-04,37583,PULSES PALACE,MESS H,Turmeric|Curd|Onion|Tamarind|Toor Dal|Tomato
2024-02-05,31972,NATURE BASKET,MESS E,Garam Masala|Urad Dal|Coriander Powder|Onion|Tomato|Chicken
2024-02-06,41641,CITY PROVISIONS,MESS G,Chana Dal|Fish|Curry Leaves|Vermicelli|Mustard Seeds|Coconut
2024-02-06,8045,BEST BULK,MESS C,Ghee|Sugar
2024-02-07,53256,GREEN LEAF,MESS G,Mango|Sugar|Red Chilli Powder|Wheat Flour|Ghee
2024-02-07,35993,PURE HARVEST,MESS F,Cornflour|Peas|Capsicum|Yeast|Pepper
2024-02-08,53855,BEST BULK,MESS E,Urad Dal|Yeast|Spinach|Tea Powder
2024-02-09,7200,APEX AGRO,MESS E,Green Moong|Poha
2024-02-10,62152,PADMA PROVISIONS,MESS C,Cocoa Powder|Butter|Watermelon|Bread|Eggs
2024-02-11,31025,PULSES PALACE,MESS A,Sugar|Bitter Gourd|Red Chilli Powder
2024-02-11,4936,GRAIN MART,MESS G,Chana Dal|Pickle|Curd
2024-02-12,35182,LAKSHMI TRADERS,MESS D,Sugar|Semolina|Milk|Ghee
2024-02-13,35400,PULSES PALACE,MESS C,Tomato|Masoor Dal|Hand Wash|Maida
2024-02-14,14873,VEGGIE HUB,MESS G,Jaggery|Pickle|Curd
2024-02-15,35230,GRAIN MART,MESS I,Turmeric|Onion|Tamarind|Toor Dal|Tomato
2024-02-15,46372,SARAVANA STORES,MESS B,Wheat Flour|Sugar|Ghee
2024-02-16,46326,SRI VENKATA AGRO,MESS E,Chana Dal|Coconut|Curry Leaves|Mustard Seeds|Moong Dal
2024-02-16,23101,GOODNESS GRAINS,MESS H,Pickle|Curd|Asafoetida
2024-02-17,13411,SPICE VALLEY,MESS B,Coriander Powder|Pickle|Curd|Black Chana
2024-02-18,11951,PURE HARVEST,MESS G,Curd|Chicken
2024-02-19,42219,KRISHNA STORES,MESS D,Biscuits|Coriander Powder|Masoor Dal|Milk
